dataset,bucket,source_file,question_index,question_zh,question_en,gold_chunk_count,retrieved_chunk_count,reranked_chunk_count,retrieval_recall,retrieval_precision,retrieval_f1,rerank_recall,rerank_precision,rerank_f1,delta_recall,delta_precision,delta_f1,gold_chunk_preview,retrieved_match_preview,rerank_match_preview,reranked_chunk_preview,manual_label,secondary_label,notes
question75_10,helped,src/test/test_questions/question75_10/question_2_2.json,0,路特斯科技的一股美国存托股份【ADS】代表多少股普通股？,How many ordinary shares does one American Depositary Share (ADS) of Lotus Technology represent?,5,90,10,1.0,0.05555555555555555,0.10526315789473684,1.0,0.5,0.6666666666666666,0.0,0.4444444444444444,0.5614035087719298,"The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te","The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te","The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te","The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te",noise_removed,factoid_question,"Reranking kept all answer-bearing ADS chunks while discarding a large amount of unrelated offering noise, so precision improved sharply without losing recall."
question75_10,helped,src/test/test_questions/question75_10/question_19_19.json,0,路特斯科技的远期目标？,What are the long-term goals of Lotus Technology?,5,35,10,0.8,0.11428571428571428,0.19999999999999998,0.8,0.4,0.5333333333333333,0.0,0.28571428571428575,0.33333333333333337,"Lotus Technology is well positioned to capitalize on the growth momentum of the global luxury battery electric vehicle (BEV) segment by leveraging the following strategies: ● Invest in brand equity and fully transform Lo || Invest in brand equity and fully transform the brand. Leveraging Lotus Technology's brand racing heritage and proven leadership, Lotus Technology intends to further elevate the brand by continuing to deliver a portfolio  || The Lotus brand is closely associated with “customer engagement” and “community building,” and in order to provide customers with a luxurious experience, Lotus Technology has adopted a direct-to-consumer global sales and","The Lotus brand is closely associated with “customer engagement” and “community building,” and in order to provide customers with a luxurious experience, Lotus Technology has adopted a direct-to-consumer global sales and || Lotus Technology is in the process of transforming from a British sports car company to a global pioneer of high-performance lifestyle electric vehicles and has set high quality and safety standards for and makes continu || Invest in brand equity and fully transform the brand. Leveraging Lotus Technology's brand racing heritage and proven leadership, Lotus Technology intends to further elevate the brand by continuing to deliver a portfolio ","The Lotus brand is closely associated with “customer engagement” and “community building,” and in order to provide customers with a luxurious experience, Lotus Technology has adopted a direct-to-consumer global sales and || Lotus Technology is in the process of transforming from a British sports car company to a global pioneer of high-performance lifestyle electric vehicles and has set high quality and safety standards for and makes continu || Invest in brand equity and fully transform the brand. Leveraging Lotus Technology's brand racing heritage and proven leadership, Lotus Technology intends to further elevate the brand by continuing to deliver a portfolio ","The Lotus brand is closely associated with “customer engagement” and “community building,” and in order to provide customers with a luxurious experience, Lotus Technology has adopted a direct-to-consumer global sales and || Lotus Technology is in the process of transforming from a British sports car company to a global pioneer of high-performance lifestyle electric vehicles and has set high quality and safety standards for and makes continu || As a leader in the electrification transformation of the luxury car segment, Lotus Technology has launched its E-segment BEV model years ahead of competitors and plans to continue launching additional BEV models. Lotus T",noise_removed,strategy_question,"The reranker preserved the main long-term goal chunks and removed many off-topic passages, giving a much cleaner evidence set with the same recall."
question75_10,helped,src/test/test_questions/question75_10/question_60_60.json,0,Kershaw Health Limited与Lotus Technology达成了什么协议？,What agreement has Kershaw Health Limited reached with Lotus Technology?,5,23,10,1.0,0.21739130434782608,0.3571428571428571,1.0,0.5,0.6666666666666666,0.0,0.28260869565217395,0.30952380952380953,"Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health || On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib","Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health || On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib","On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib || Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer SUBSCRIPTION AGREEMENT dated November 7, 2024 by and between LOTUS TECHNOLOGY INC. KERSHAW HEALTH LIMITED ARTICLE I ","On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib || Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer SUBSCRIPTION AGREEMENT dated November 7, 2024 by and between LOTUS TECHNOLOGY INC. KERSHAW HEALTH LIMITED ARTICLE I ",noise_removed,agreement_question,"The reranker surfaced the core subscription-agreement chunks and filtered surrounding legal boilerplate, which substantially improved precision while retaining full coverage."
question75_10,helped,src/test/test_questions/question75_10/question_18_18.json,0,路特斯科技的主要竞争优势是什么？,What are the main competitive advantages of Lotus Technology?,7,28,10,0.5714285714285714,0.14285714285714285,0.2285714285714286,0.5714285714285714,0.4,0.47058823529411764,0.0,0.2571428571428572,0.24201680672268905,Lotus Technology believes it benefits from a number of competitive advantages: Early mover in the luxury BEV market. Lotus Technology is well positioned to capitalize on the rapid growth of the global luxury BEV market a || Lotus Technology believes it benefits from a number of competitive advantages: ● Early mover in the luxury battery electric vehicle (BEV) market. ● Iconic brand with a racing heritage. ● Proprietary next-generation techn || Lotus Technology believes it benefits from a number of competitive advantages: ● Early mover in the luxury battery electric vehicle (BEV) market. ● Iconic brand with a racing heritage. ● Proprietary next-generation techn,"Additionally, many of these competitors also have greater name recognition, longer operating histories, larger sales forces, broader customer and industry relationships, and other tangible and intangible resources that e || Lotus Technology believes it benefits from a number of competitive advantages: Early mover in the luxury BEV market. Lotus Technology is well positioned to capitalize on the rapid growth of the global luxury BEV market a || Since its inception, Team Lotus has won multiple Formula 1 championships, including 6 “FIA Formula 1 Drivers’ World Championships,” 7 “FIA Formula 1 Constructors’ World Championships,” and 81 “FIA Formula 1 Grand Prix Wi","Lotus Technology believes it benefits from a number of competitive advantages: ● Early mover in the luxury battery electric vehicle (BEV) market. ● Iconic brand with a racing heritage. ● Proprietary next-generation techn || Additionally, many of these competitors also have greater name recognition, longer operating histories, larger sales forces, broader customer and industry relationships, and other tangible and intangible resources that e || Lotus Technology believes it benefits from a number of competitive advantages: Early mover in the luxury BEV market. Lotus Technology is well positioned to capitalize on the rapid growth of the global luxury BEV market a","Lotus Technology believes it benefits from a number of competitive advantages: ● Early mover in the luxury battery electric vehicle (BEV) market. ● Iconic brand with a racing heritage. ● Proprietary next-generation techn || Competition Lotus Technology faces competition from both traditional luxury automotive developers and an increasing number of newer companies focused on electric and other alternative fuel vehicles. Lotus Technology beli || Additionally, many of these competitors also have greater name recognition, longer operating histories, larger sales forces, broader customer and industry relationships, and other tangible and intangible resources that e",noise_removed,list_question,"The reranker kept the central competitive-advantage chunks and dropped many distracting market-background passages, improving precision without reducing recall."
question75_10,helped,src/test/test_questions/question75_10/question_59_59.json,0,介绍一下Kershaw Health Limited,What is Kershaw Health Limited?,5,57,10,1.0,0.08771929824561403,0.16129032258064516,0.6,0.3,0.4,-0.4,0.21228070175438596,0.23870967741935487,"THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health || Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib","THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health || Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib","Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health || This Bond was issued under a Subscription Agreement, dated as of [●], 2024 between Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Issuer”) with its principal place of business at No. ","Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer SUBSCRIPTION AGREEMENT dated November 7, 2024 by and between LOTUS TECHNOLOGY INC. KERSHAW HEALTH LIMITED ARTICLE I  || THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health",noise_removed,partial_recall_loss,"Reranking removed a lot of junk and made the remaining evidence more focused, but it also dropped some supporting details about Kershaw Health so recall fell from full to partial."
question75_10,helped,src/test/test_questions/question75_10/question_12_12.json,0,路特斯科技最新的销售指引？,What is the latest sales guidance for Lotus Technology in 2024?,4,38,10,1.0,0.10526315789473684,0.1904761904761905,0.75,0.3,0.4285714285714285,-0.25,0.19473684210526315,0.238095238095238,"New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || Over 7,600 vehicles were delivered in the first nine months of 2024, a year-on-year increase of 136%. Total revenue reached $653 million, more than doubling year-on-year. Revenue from the intelligent driving business gen || What is Lotus Technology's future guidance?Lotus Technology's annual delivery target is 12,000 units, with year-over-year growth exceeding 70%. Through the Win26 program, Lotus Technology aims to achieve positive cash fl","New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || Over 7,600 vehicles were delivered in the first nine months of 2024, a year-on-year increase of 136%. Total revenue reached $653 million, more than doubling year-on-year. Revenue from the intelligent driving business gen || What is Lotus Technology's future guidance?Lotus Technology's annual delivery target is 12,000 units, with year-over-year growth exceeding 70%. Through the Win26 program, Lotus Technology aims to achieve positive cash fl","New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || Over 7,600 vehicles were delivered in the first nine months of 2024, a year-on-year increase of 136%. Total revenue reached $653 million, more than doubling year-on-year. Revenue from the intelligent driving business gen || What is the reason for the company's sales forecast adjustment?Based on Lotus Technology's prudent assessment of the global macro market environment and the uncertainty of tariffs, Lotus Technology has adjusted the deliv","Powered by Lotus Technology's high-power dual motor, Emeya can deliver an acceleration from zero to 100 km per hour in 2.8 seconds, making it one of the fastest electric GTs in the world. Equipped with Lotus Technology's || New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || Over 7,600 vehicles were delivered in the first nine months of 2024, a year-on-year increase of 136%. Total revenue reached $653 million, more than doubling year-on-year. Revenue from the intelligent driving business gen",noise_removed,guidance_question,"The reranker concentrated the evidence around sales-guidance passages and reduced noise, although it discarded one supporting chunk and therefore lowered recall slightly."
question75_10,helped,src/test/test_questions/question75_10/question_37_37.json,0,介绍一下路特斯的Vision80计划和Win26计划,What is Lotus Technology's Vision80 plan? | What is Lotus Technology's Win26 plan?,4,53,18,1.0,0.07547169811320754,0.14035087719298245,1.0,0.2222222222222222,0.3636363636363636,0.0,0.14675052410901468,0.22328548644338114,"The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || The Lotus WIN26 Plan targets positive operating cash flow and EBITDA in 2026 to enhance profitability and potentially increase returns to investors. Key milestones for 2026 include a vehicle delivery volume of 30,000 uni || Lotus Technology plans to launch a well-balanced portfolio of new models with exceptional performance in the coming years to broaden its customer base, in particular high net worth individuals and the tech-savvy younger ","The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || The Lotus WIN26 Plan targets positive operating cash flow and EBITDA in 2026 to enhance profitability and potentially increase returns to investors. Key milestones for 2026 include a vehicle delivery volume of 30,000 uni","To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || Lotus Technology plans to launch a well-balanced portfolio of new models with exceptional performance in the coming years to broaden its customer base, in particular high net worth individuals and the tech-savvy younger ","To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || Lotus is advancing its sustainability and electrification efforts through the Vision 80 strategy, focusing on intelligent performance. This strategy includes the introduction of the Electric Lotus Driving Experience, whi || The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings",noise_removed,plan_question,"The reranker retained the main Vision80/Win26 evidence while pruning many unrelated passages, making the evidence set much more precise."
question75_10,helped,src/test/test_questions/question75_10/question_6_6.json,0,路特斯科技的股东结构构成？,What is the shareholder structure of Lotus Technology?,7,144,10,0.2857142857142857,0.013888888888888888,0.026490066225165563,0.2857142857142857,0.2,0.23529411764705882,0.0,0.18611111111111112,0.20880405142189326,"The equity interests of Lotus Tech UK and Lotus GmbH were transferred to Lotus Technology Corporation on December 29, 2021, and June 24, 2022, respectively. On November 4, 2021, Lotus Technology Corporation entered into  || The following diagram illustrates Lotus Technology Corporation's corporate structure, including its principal and other subsidiaries as of the date of this prospectus: LTC is not an operating company but a Cayman Islands || On November 11, 2021, Lotus Technology issued 95,990,886 ordinary shares to Lotus Technology International Investment Limited, which is ultimately 100% owned by Geely Holding. Through a series of reorganization steps (th","The equity interests of Lotus Tech UK and Lotus GmbH were transferred to Lotus Technology Corporation on December 29, 2021, and June 24, 2022, respectively. On November 4, 2021, Lotus Technology Corporation entered into  || *[Table Level] - Table Title: Ownership of Ordinary Shares by Directors, Executive Officers, and 5.0% Shareholders - Table Summary: The table provides an overview of the ownership of ordinary shares by specific directors","The equity interests of Lotus Tech UK and Lotus GmbH were transferred to Lotus Technology Corporation on December 29, 2021, and June 24, 2022, respectively. On November 4, 2021, Lotus Technology Corporation entered into  || *[Table Level] - Table Title: Ownership of Ordinary Shares by Directors, Executive Officers, and 5.0% Shareholders - Table Summary: The table provides an overview of the ownership of ordinary shares by specific directors","The equity interests of Lotus Tech UK and Lotus GmbH were transferred to Lotus Technology Corporation on December 29, 2021, and June 24, 2022, respectively. On November 4, 2021, Lotus Technology Corporation entered into  || *[Table Level] - Table Title: Ownership of Ordinary Shares by Directors, Executive Officers, and 5.0% Shareholders - Table Summary: The table provides an overview of the ownership of ordinary shares by specific directors || [Table Level] - **Table Title**: Lotus Technology Corporate Structure Overview - **Table Summary**: This diagram provides a visual representation of the corporate structure of Lotus Technology Inc. as of the date of the ",noise_removed,table_heavy_question,"The reranker did not improve recall, but it removed a large amount of irrelevant ownership material and left a much denser set of shareholder-structure evidence."
question75_10,hurt,src/test/test_questions/question75_10/question_69_69.json,0,Lotus Technology是VIE架构吗？,Is Lotus Technology structured as a VIE?,15,36,10,0.4666666666666667,0.19444444444444445,0.27450980392156865,0.13333333333333333,0.2,0.16,-0.33333333333333337,0.005555555555555564,-0.11450980392156865,"Lotus Technology’s involvement with the Variable Interest Entities (VIEs) under the VIE Arrangements affected Lotus Technology’s consolidated financial position, consolidated and combined results of operations, and cash  || As mentioned in note 21, on January 31, 2023, Group Lotus Limited entered into a distribution agreement with Lotus Cars Limited (“LCL”), a wholly owned subsidiary of Lotus Group International Limited (LGIL) and ultimatel || In connection with the Restructuring, the WFOE, the VIE, and nominee equity holders of the VIE entered into a series of agreements (“VIE Restructuring Agreements”), pursuant to which, i) the WFOE acquired 100% equity int","Historically, Lotus Technology conducted its value-added telecommunication services operation in the Chinese mainland through the Variable Interest Entity (VIE) and the VIE’s subsidiaries, with which the Wholly Foreign-O || Prior to the Restructuring as described in note 1(d), Lotus Technology's subsidiary, WFOE, has entered into contractual arrangements with Wuhan Lotus E-commerce Co., Ltd. (“VIE”) and their respective shareholders, throug || As mentioned in note 21, on January 31, 2023, Group Lotus Limited entered into a distribution agreement with Lotus Cars Limited (“LCL”), a wholly owned subsidiary of Lotus Group International Limited (LGIL) and ultimatel","Historically, Lotus Technology conducted its value-added telecommunication services operation in the Chinese mainland through the Variable Interest Entity (VIE) and the VIE’s subsidiaries, with which the Wholly Foreign-O || Prior to the Restructuring as described in note 1(d), Lotus Technology's subsidiary, WFOE, has entered into contractual arrangements with Wuhan Lotus E-commerce Co., Ltd. (“VIE”) and their respective shareholders, throug","Historically, Lotus Technology conducted its value-added telecommunication services operation in the Chinese mainland through the Variable Interest Entity (VIE) and the VIE’s subsidiaries, with which the Wholly Foreign-O || Prior to the Restructuring as described in note 1(d), Lotus Technology's subsidiary, WFOE, has entered into contractual arrangements with Wuhan Lotus E-commerce Co., Ltd. (“VIE”) and their respective shareholders, throug || Historically, Lotus Technology Inc. relied on contractual arrangements among Wuhan Lotus Technology Limited Company Ltd. (the “WFOE”), Wuhan Lotus E-commerce Co., Ltd., the former variable interest entity (“VIE”), and it",relevant_chunk_dropped,multi_fact_undercoverage,"The reranker kept some VIE-related evidence but dropped several restructuring chunks needed to fully answer the question, so recall decreased noticeably."
question75_10,hurt,src/test/test_questions/question75_10/question_72_72.json,0,路特斯科技是否拥有路特斯品牌？,Does Lotus Technology own the Lotus brand?,29,24,10,0.13793103448275862,0.16666666666666666,0.1509433962264151,0.034482758620689655,0.1,0.05128205128205129,-0.10344827586206896,-0.06666666666666665,-0.0996613449443638,Lotus Technology is a leading global intelligent and luxury mobility provider that designs and develops luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus” and sells || Lotus Technology is a leading global intelligent and luxury mobility provider that designs and develops luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus” and sells || Lotus Technology is a pioneering luxury battery electric vehicle (BEV) maker that designs and develops luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus” and sells ,Lotus Technology is a leading global intelligent and luxury mobility provider that designs and develops luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus” and sells || Lotus Technology is a leading global intelligent and luxury mobility provider that designs and develops luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus” and sells || Lotus Technology is a pioneering luxury battery electric vehicle (BEV) maker that designs and develops luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus” and sells ,"Lotus Technology Inc. (“the Company”), an exempted company with limited liability, was incorporated in the Cayman Islands on August 9, 2021. The Company, through its wholly owned subsidiaries, consolidated variable inter","Lotus Technology's core values, which include developing high-quality electric vehicles while operating with integrity, are an important component of the company's brand image, making its reputation sensitive to allegati || Lotus Technology Inc. (“the Company”), an exempted company with limited liability, was incorporated in the Cayman Islands on August 9, 2021. The Company, through its wholly owned subsidiaries, consolidated variable inter || Lotus Technology is a pioneering luxury battery electric vehicle (BEV) maker that designs, develops, and sells luxury lifestyle vehicles (non-sports car vehicles for daily usage) under the iconic British brand “Lotus.” W",relevant_chunk_dropped,lexical_match_wrong,"The reranker favored generic brand-description passages over the chunks that directly address ownership of the Lotus brand, causing a large recall drop."
