source_file,question_index,question_zh,question_en,gold_chunk_count,retrieved_chunk_count,reranked_chunk_count,retrieval_recall,retrieval_precision,retrieval_f1,rerank_recall,rerank_precision,rerank_f1,delta_recall,delta_precision,delta_f1,retrieval_matched_count,rerank_matched_count
src/test/test_questions/question75_10/question_0_0.json,0,路特斯科技的总部位于哪里？,Where is the headquarters of Lotus Technology located?,5,26,9,0.8,0.15384615384615385,0.25806451612903225,0.6,0.3333333333333333,0.42857142857142855,-0.20000000000000007,0.17948717948717946,0.1705069124423963,4,3
src/test/test_questions/question75_10/question_10_10.json,0,路特斯科技截止上半年的全球交付数量是多少？,What is the global delivery volume for Lotus Technology in the first half of 2024?,6,24,10,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,0.2,0.25,0.0,0.11666666666666668,0.11666666666666667,2,2
src/test/test_questions/question75_10/question_12_12.json,0,路特斯科技最新的销售指引？,What is the latest sales guidance for Lotus Technology in 2024?,4,38,10,1.0,0.10526315789473684,0.1904761904761905,0.75,0.3,0.4285714285714285,-0.25,0.19473684210526315,0.238095238095238,4,3
src/test/test_questions/question75_10/question_13_13.json,0,路特斯科技是否盈利？,Is Lotus Technology profitable in 2024?,9,50,10,0.1111111111111111,0.02,0.03389830508474577,0.1111111111111111,0.1,0.10526315789473685,0.0,0.08,0.07136485280999108,1,1
src/test/test_questions/question75_10/question_14_14.json,0,路特斯科技的用户画像？,What is the user profile for Lotus Technology?,3,34,9,0.3333333333333333,0.029411764705882353,0.05405405405405406,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.0,0.08169934640522875,0.1126126126126126,1,1
src/test/test_questions/question75_10/question_15_15.json,0,路特斯科技产品的交付周期是多少？,What is the delivery cycle for Lotus Technology's products in 2024?,1,35,10,1.0,0.02857142857142857,0.05555555555555556,1.0,0.1,0.18181818181818182,0.0,0.07142857142857144,0.12626262626262627,1,1
src/test/test_questions/question75_10/question_16_16.json,0,路特斯科技的员工数量？,What is the number of employees at Lotus Technology?,2,38,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
src/test/test_questions/question75_10/question_17_17.json,0,路特斯科技的研发投入？研发人员数量？,What is Lotus Technology's R&D investment in 2024? | What is the number of R&D personnel at Lotus Technology in 2024?,3,68,16,0.6666666666666666,0.029411764705882353,0.056338028169014086,0.6666666666666666,0.125,0.21052631578947367,0.0,0.09558823529411764,0.15418828762045958,2,2
src/test/test_questions/question75_10/question_18_18.json,0,路特斯科技的主要竞争优势是什么？,What are the main competitive advantages of Lotus Technology?,7,28,10,0.5714285714285714,0.14285714285714285,0.2285714285714286,0.5714285714285714,0.4,0.47058823529411764,0.0,0.2571428571428572,0.24201680672268905,4,4
src/test/test_questions/question75_10/question_19_19.json,0,路特斯科技的远期目标？,What are the long-term goals of Lotus Technology?,5,35,10,0.8,0.11428571428571428,0.19999999999999998,0.8,0.4,0.5333333333333333,0.0,0.28571428571428575,0.33333333333333337,4,4
src/test/test_questions/question75_10/question_1_1.json,0,路特斯科技股票在哪个交易所交易？股票代码是多少？,On which stock exchange does Lotus Technology's stock trade? | What is the stock ticker symbol for Lotus Technology?,17,44,16,0.058823529411764705,0.022727272727272728,0.03278688524590164,0.058823529411764705,0.0625,0.06060606060606061,0.0,0.03977272727272727,0.027819175360158967,1,1
src/test/test_questions/question75_10/question_20_20.json,0,路特斯科技2024年前9个月的业绩表现如何？,What was Lotus Technology's performance in the first 9 months of 2024?,1,48,10,1.0,0.020833333333333332,0.04081632653061225,1.0,0.1,0.18181818181818182,0.0,0.07916666666666668,0.1410018552875696,1,1
src/test/test_questions/question75_10/question_21_21.json,0,路特斯科技截止3季度的全球交付数量是多少？增长如何？,What is the global delivery volume for Lotus Technology up to the third quarter in 2024? | What is the growth rate of global deliveries for Lotus Technology up to the third quarter in 2024?,8,48,15,0.25,0.041666666666666664,0.07142857142857142,0.25,0.13333333333333333,0.1739130434782609,0.0,0.09166666666666667,0.10248447204968947,2,2
src/test/test_questions/question75_10/question_22_22.json,0,路特斯科技前三季度生活用车和跑车的交付量分别是多少？,What is the delivery volume of lifestyle vehicles for Lotus Technology in the first three quarters of 2024? | What is the delivery volume of sports cars for Lotus Technology in the first three quarters of 2024?,1,53,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
src/test/test_questions/question75_10/question_23_23.json,0,路特斯科技第三季度的交付量是多少？,What is Lotus Technology's delivery volume in the third quarter of 2024?,4,41,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
src/test/test_questions/question75_10/question_24_24.json,0,路特斯科技的毛利率是多少？经营性利润/亏损是多少？,What is Lotus Technology's gross margin in 2024? | What is Lotus Technology's operating profit/loss in 2024?,15,88,18,0.6666666666666666,0.11363636363636363,0.19417475728155337,0.3333333333333333,0.2777777777777778,0.303030303030303,-0.3333333333333333,0.16414141414141414,0.10885554574874962,10,5
src/test/test_questions/question75_10/question_25_25.json,0,路特斯科技的全年销售指引是多少？目前看是否能完成？,What is Lotus Technology's full-year sales guidance for 2024? | Is Lotus Technology on track to meet its full-year sales guidance for 2024?,9,73,17,0.4444444444444444,0.0547945205479452,0.0975609756097561,0.3333333333333333,0.17647058823529413,0.23076923076923078,-0.1111111111111111,0.12167606768734893,0.13320825515947468,4,3
src/test/test_questions/question75_10/question_26_26.json,0,路特斯科技的最新员工数量？研发人员数量？,What is the latest number of employees at Lotus Technology in 2024? | What is the latest number of R&D personnel at Lotus Technology in 2024?,4,62,12,0.5,0.03225806451612903,0.06060606060606061,0.5,0.16666666666666666,0.25,0.0,0.13440860215053763,0.1893939393939394,2,2
src/test/test_questions/question75_10/question_27_27.json,0,路特斯科技的欧洲市场、中国市场、美国市场分别的销售贡献如何？,What is the sales contribution of Lotus Technology in the European market in 2024? | What is the sales contribution of Lotus Technology in the Chinese market in 2024? | What is the sales contribution of Lotus Technology in the US market in 2024?,7,64,19,0.8571428571428571,0.09375,0.16901408450704225,0.5714285714285714,0.21052631578947367,0.3076923076923077,-0.2857142857142857,0.11677631578947367,0.13867822318526546,6,4
src/test/test_questions/question75_10/question_28_28.json,0,路特斯科技的欧洲、中国、美国分别的门店数量占比如何？,What is the proportion of Lotus Technology's store count in Europe in 2024? | What is the proportion of Lotus Technology's store count in China in 2024? | What is the proportion of Lotus Technology's store count in the United States in 2024?,1,65,20,1.0,0.015384615384615385,0.030303030303030307,1.0,0.05,0.09523809523809523,0.0,0.03461538461538462,0.06493506493506493,1,1
src/test/test_questions/question75_10/question_29_29.json,0,路特斯生活用车和跑车的销售占比分别怎样？,What is the sales percentage of Lotus Technology's lifestyle vehicles in 2024? | What is the sales percentage of Lotus Technology's sports cars in 2024?,6,49,16,0.5,0.061224489795918366,0.1090909090909091,0.16666666666666666,0.0625,0.09090909090909091,-0.33333333333333337,0.001275510204081634,-0.018181818181818188,3,1
src/test/test_questions/question75_10/question_2_2.json,0,路特斯科技的一股美国存托股份【ADS】代表多少股普通股？,How many ordinary shares does one American Depositary Share (ADS) of Lotus Technology represent?,5,90,10,1.0,0.05555555555555555,0.10526315789473684,1.0,0.5,0.6666666666666666,0.0,0.4444444444444444,0.5614035087719298,5,5
src/test/test_questions/question75_10/question_30_30.json,0,路特斯科技在2024年有哪些关键性成就？,What are the key achievements of Lotus Technology in 2024?,11,45,10,0.36363636363636365,0.08888888888888889,0.14285714285714285,0.2727272727272727,0.3,0.28571428571428564,-0.09090909090909094,0.21111111111111108,0.1428571428571428,4,3
src/test/test_questions/question75_10/question_31_31.json,0,路特斯科技的平均MSRP在什么水平？,What is the average MSRP for Lotus Technology in 2024?,11,32,10,0.36363636363636365,0.125,0.18604651162790697,0.2727272727272727,0.3,0.28571428571428564,-0.09090909090909094,0.175,0.09966777408637867,4,3
